,Feedback,Lemma,label,Subjectivity,Polarity,Sentiment_Analysis
81,"Didn?t ask too many questions on how to reach my home, though its a very crowded locality. The gulab jamoon was so good. The bhindi masala was perfect, to double check it I asked my mother to eat half of it, she liked it too. I really liked the meal size its not too much, it isn?t too small. Packaging was really good, you could ride rash and juggle the package it would still not spill. Salad was freshly made to order.",  ask many question reach home though crowded locality gulab jamoon good bhindi masala perfect double check ask mother eat half like really like meal size much small Packaging really good could ride rash juggle package would still spill Salad freshly make order,1,0.44074074074074077,0.3314814814814815,happy
82,She give only 2 small peace of chiken I filled case against swiggy and restaurants,  give small peace chiken fill case swiggy restaurant,0,0.4,-0.25,not happy
83,Portion of sabjis should increase,  Portion sabjis increase,1,0.0,0.0,happy
84,"Sabji was very poor quantity and oily. Salad was dry and looked bad. Butter milk tasted like milk and was hardly put effort to prepare, couod not consume. Not ordering from Voosh anymore, seems it has fallen.",  Sabji poor quantity oily Salad dry look bad Butter milk taste like milk hardly put effort prepare couod consume order Voosh anymore seem fall,0,0.6020833333333333,-0.3645833333333333,not happy
85,Dal and Sanju should be served more,  Dal Sanju serve,1,0.0,0.0,happy
86,"Stale food, smelly, items missing",  Stale food smelly item miss,0,0.5,-0.5,not happy
87,"Not juicy, dry patty!",  juicy dry patty,0,0.6,-0.06666666666666665,not happy
88,The paty was very dry and the burger as a whole had no good taste,  paty dry burger whole good taste,0,0.5333333333333333,0.27777777777777773,happy
89,"WORST PACKAGING. Good burger. Need more combos, drinks and snacks.",  WORST PACKAGING Good burger Need combos drink snack,1,0.8,-0.15000000000000002,not happy
90,Best burger I've had in sometime,  Best burger sometime,1,0.3,1.0,happy
91,In the name of burger am getting sandwich,  name burger get sandwich,0,0.0,0.0,happy
92,The patty is very huge and it is too crunchy with all the veggies.,  patty huge crunchy veggie,1,0.9,0.4000000000000001,happy
93,Chicken patty in the burger was very thick,  Chicken patty burger thick,1,0.7124999999999999,-0.45,not happy
94,Horrible,  Horrible,0,1.0,-1.0,not happy
95,Food didn't really seem fresh and wasn't well packed. The curry overflowed,  Food really seem fresh well pack curry overflow,1,0.35,0.25,happy
96,"The gravies were leaking from the packaging, they need to improvise on thia",  gravy leak packaging need improvise thia,1,0.0,0.0,happy
97,Worst ever. You can make people sick with this food ! It went in my dustbin!!,  Worst ever make people sick food go dustbin,0,0.9285714285714286,-0.8571428571428572,not happy
98,"Really bad taste, everything tasted baad and stale food",  Really bad taste everything taste baad stale food,0,0.5833333333333333,-0.5999999999999999,not happy
99,Pathetic,  Pathetic,0,1.0,-1.0,not happy
100,Service is just wow.,  Service wow,1,1.0,0.1,happy
101,I got Paneer Masala without Paneer. Really Bad,  get Paneer Masala without Paneer Really Bad,0,0.6666666666666666,-0.6999999999999998,not happy
102,The Worst restaurant in Bangalore ??,  Worst restaurant Bangalore,0,1.0,-1.0,not happy
103,It was way to less.. only 5-6 small chuka of paneer pieces like on pizza,  way less small chuka paneer piece like pizza,1,0.23333333333333334,-0.20833333333333331,not happy
104,Paratha size was okay but taste was not good.. I don't think so i will order again,  Paratha size okay taste good think order,0,0.55,0.6,happy
105,Taste and smell were worse,  Taste smell bad,0,0.6666666666666666,-0.6999999999999998,not happy
106,Loved it,  Loved,1,0.8,0.7,happy
107,"Small portions,average taste",  Small portion average taste,1,0.4,-0.2,not happy
108,"Burnt, hard and salty. Horrible",  Burnt hard salty Horrible,0,0.7708333333333333,-0.6458333333333334,not happy
109,Aloo sabzi was spoilt and dal was watery,  Aloo sabzi spoil dal watery,0,0.0,0.0,happy
110,Very worst. Have delivered only half the order,  worst deliver half order,0,0.5833333333333334,-0.5833333333333334,not happy
111,No proper stuffing and taste was not good.,  proper stuffing taste good,0,0.35000000000000003,0.35,happy
112,"It was Extra spicy, which I did not like",  Extra spicy like,1,0.1,0.0,happy
113,Could not eat sambar and raita due to lack of bowl and spoon,  Could eat sambar raita due lack bowl spoon,1,0.375,-0.125,not happy
114,"Disappointed by chicken ,and quantity,,,3 pieces ,, subsided dish and no taste",  Disappointed chicken quantity piece subside dish taste,0,0.85,-0.675,not happy
115,Polite and humble person,  Polite humble person,1,0.4,-0.2,not happy
116,One of the worst orders. Same gravy used for both the carriers and taste is much below average,  One bad order gravy use carrier taste much average,0,0.5333333333333333,-0.42499999999999993,not happy
117,The curry and daal in thali was very very less,  curry daal thali less,1,0.06666666666666667,-0.16666666666666666,not happy
118,The order was completely different,  order completely different,0,0.6,0.0,happy
119,I ordered earlier from the same place the quality and quantity was much better. Quality and quantity is completely dipped,  order earlier place quality quantity much good Quality quantity completely dipped,0,0.5,0.26666666666666666,happy
120,It was tawa parathas instead of plain chapathis. We don't like parathas.,  tawa parathas instead plain chapathis like parathas,1,0.35714285714285715,-0.21428571428571427,not happy
121,Awesome complete meal.. great job,  Awesome complete meal great job,1,0.7166666666666667,0.6333333333333334,happy
122,"Panneer was old stock, even sabji given cauliflower and potatoes tasted bitter, good was not fresh at all",  Panneer old stock even sabji give cauliflower potato taste bitter good fresh,1,0.45,0.25,happy
123,"I liked the taste but gravy was very less for the amount of white rice you provided, for the price you are charging provide atleast 2 boiled eggs it feels good",  like taste gravy less amount white rice provide price charge provide atleast boil egg feel good,1,0.22222222222222224,0.17777777777777778,happy
124,Super speed and kind,  Super speed kind,1,0.7833333333333333,0.4666666666666667,happy
125,This is the second time I ordered from this restaurant and it seems like they give you the items they want and not what you order. Not done.,  second time order restaurant seem like give item want order do,0,0.0,0.0,happy
126,the worst taste ever..they give the food which is like jail food.rice is so hard. chapathis are hard.sabjis taste can explain. please nobody order this food. waste of money.. indira canteen food is more better and tasty,  bad taste ever give food like jail food rice hard chapathis hard sabjis taste explain please nobody order food waste money indira canteen food well tasty,0,0.35,-0.31666666666666665,not happy
127,"Food little oily there & have 2 improve packing... Overall food taste good, quantity ok for one...",  Food little oily improve pack Overall food taste good quantity ok one,1,0.4,0.253125,happy
128,Worst food,  Worst food,0,1.0,-1.0,not happy
129,The quantity of food was very very less. Children at my home eats more than that.,  quantity food less Children home eat,0,0.06666666666666667,-0.16666666666666666,not happy
130,In sweet there was jamun which was size of a pea that's ridiculous...paneer was not fresh and not good in taste totally waste of money. The price is so high and the quality of food is worst,  sweet jamun size pea ridiculous paneer fresh good taste totally waste money price high quality food bad,0,0.5652380952380952,0.03952380952380955,happy
131,"I ordered tadka daal, it has so much water in it. I was hungry for food, not dehydrated.",  order tadka daal much water hungry food dehydrate,0,0.2,0.2,happy
132,Absolutely horrible food,  Absolutely horrible food,0,1.0,-1.0,not happy
133,Worst ever paneer masala.,  Worst ever paneer masala,0,1.0,-1.0,not happy
134,It was tasteless food,  tasteless food,0,0.9,-0.6,not happy
135,"The sweet was spoilt, very very spicy bhaji",  sweet spoilt spicy bhaji,0,0.65,0.35,happy
136,Packed in paper cover and charged for steel box as packing charges. Not worth it.,  Packed paper cover charge steel box packing charge worth,0,0.1,0.3,happy
137,Place is overrated and overpriced..,  Place overrate overprice,1,0.0,0.0,happy
138,Over hiped,  hiped,1,0.0,0.0,happy
139,"My order was cancelled because the food packets were not parcelled properly. After returning them, I reordered. But my first order money not refunded",  order cancel food packet parcel properly return reorder first order money refund,0,0.21666666666666667,0.125,happy
140,Spicy and Tasty....??,  Spicy Tasty,1,0.0,0.0,happy
141,Paratas wer made of maida.. With spicy green chillis. So called best selling chapatis also not that good. Quantity of dal was less. Not gonna order next time. Thank you,  Paratas wer make maida spicy green chilli call best selling chapati also good Quantity dal less gon na order next time Thank,0,0.25333333333333335,0.26666666666666666,happy
142,"No sweet delivered, paratha was maida tandoori, looks like homemade whole wheat in photo",  sweet deliver paratha maida tandoori look like homemade whole wheat photo,1,0.525,0.275,happy
143,Not given adequate quantity of dish as said it will provide.,  give adequate quantity dish say provide,1,0.3333333333333333,0.3333333333333333,happy
144,Wrong items deluvered,  Wrong item deluvered,0,0.9,-0.5,not happy
